"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2023","25.460","25.970","26.235","25.265","94.54K","-1.79%"
"04/13/2023","25.925","25.630","26.115","25.515","75.42K","1.83%"
"04/12/2023","25.458","25.185","25.825","25.175","89.02K","1.08%"
"04/11/2023","25.186","25.015","25.275","24.970","54.83K","1.10%"
"04/10/2023","24.912","24.910","25.240","24.775","47.96K","-0.72%"
"04/06/2023","25.093","25.090","25.175","24.695","49.82K","0.22%"
"04/05/2023","25.037","25.175","25.295","24.785","66.17K","-0.25%"
"04/04/2023","25.101","24.105","25.195","23.970","80.73K","4.50%"
"04/03/2023","24.021","24.285","24.335","23.725","59.79K","-0.56%"
"03/31/2023","24.156","24.050","24.310","23.830","59.67K","0.70%"
"03/30/2023","23.989","23.440","24.100","23.370","67.10K","2.56%"
"03/29/2023","23.391","23.315","23.430","23.180","0.19K","0.20%"
"03/28/2023","23.345","23.180","23.425","22.925","0.06K","1.17%"
"03/27/2023","23.075","23.185","23.185","22.945","0.05K","-0.74%"
"03/24/2023","23.247","23.240","23.705","23.125","0.02K","0.45%"
"03/23/2023","23.144","23.100","23.360","22.900","","2.07%"
"03/22/2023","22.675","22.680","23.065","22.650","0.02K","1.57%"
"03/21/2023","22.324","22.570","22.600","22.205","0.06K","-0.93%"
"03/20/2023","22.533","22.630","22.720","22.415","0.01K","0.81%"
"03/17/2023","22.351","21.750","22.065","21.750","0.06K","3.53%"
"03/16/2023","21.588","21.855","21.860","21.580","0.05K","-0.85%"
"03/15/2023","21.774","21.600","22.080","21.600","0.02K","-0.71%"
"03/14/2023","21.929","21.510","21.910","21.500","0.06K","0.62%"
"03/13/2023","21.793","20.690","21.785","20.690","0.02K","6.96%"
"03/10/2023","20.375","20.145","20.875","19.945","0.05K","1.75%"
"03/09/2023","20.025","20.010","20.030","20.010","0.01K","0.10%"
"03/08/2023","20.005","20.035","20.140","19.830","0.08K","-0.24%"
"03/07/2023","20.054","20.985","20.985","19.990","0.06K","-4.43%"
"03/06/2023","20.984","21.175","21.220","20.980","0.12K","-1.20%"
"03/03/2023","21.238","20.990","21.385","20.910","","2.27%"
"03/02/2023","20.766","20.915","20.915","20.735","","-0.92%"
"03/01/2023","20.959","20.880","21.150","20.880","0.58K","-0.01%"
"02/28/2023","20.961","20.640","21.010","20.475","0.51K","1.41%"
"02/27/2023","20.670","20.750","20.820","20.515","7.50K","-0.67%"
"02/24/2023","20.810","21.330","21.395","20.725","51.63K","-2.33%"
"02/23/2023","21.306","21.520","21.670","21.260","52.99K","-1.71%"
"02/22/2023","21.677","21.870","22.000","21.435","50.98K","-0.97%"
"02/21/2023","21.890","21.700","21.995","21.555","86.91K","0.38%"
"02/20/2023","21.808","21.595","21.902","21.558","","0.97%"
"02/19/2023","21.598","21.753","21.753","21.585","","-0.54%"
"02/17/2023","21.715","21.585","21.800","21.155","67.93K","0.02%"
"02/16/2023","21.710","21.640","21.790","21.400","56.29K","0.64%"
"02/15/2023","21.572","21.865","21.875","21.385","55.51K","-1.38%"
"02/14/2023","21.873","21.995","22.040","21.585","73.82K","0.10%"
"02/13/2023","21.852","22.030","22.085","21.785","48.51K","-1.01%"
"02/10/2023","22.075","22.015","22.310","21.830","68.26K","-0.31%"
"02/09/2023","22.143","22.365","22.615","21.915","67.99K","-1.24%"
"02/08/2023","22.420","22.210","22.560","22.205","56.97K","1.10%"
"02/07/2023","22.177","22.305","22.485","22.065","72.08K","-0.27%"
"02/06/2023","22.237","22.385","22.635","22.170","66.94K","-0.75%"
"02/03/2023","22.405","23.515","23.665","22.325","111.87K","-5.12%"
"02/02/2023","23.615","24.065","24.750","23.495","110.84K","0.03%"
"02/01/2023","23.609","23.840","24.150","23.440","65.33K","-0.95%"
"01/31/2023","23.836","23.695","23.865","23.050","66.63K","0.43%"
"01/30/2023","23.733","23.675","23.920","23.630","56.12K","0.85%"
"01/27/2023","23.534","23.845","23.850","23.500","0.18K","-1.68%"
"01/26/2023","23.937","23.925","24.325","23.630","1.35K","0.38%"
