"Date","Price","Open","High","Low","Vol.","Change %"
"11/25/2019","898.45","894.60","903.00","892.60","","0.44%"
"11/24/2019","894.55","893.75","895.05","891.75","","0.09%"
"11/22/2019","893.75","918.05","919.10","888.40","","-2.59%"
"11/21/2019","917.50","920.30","929.70","912.40","","-0.25%"
"11/20/2019","919.80","912.60","922.00","908.80","","0.81%"
"11/19/2019","912.40","897.15","914.30","896.45","","1.71%"
"11/18/2019","897.10","893.55","901.90","881.15","","0.43%"
"11/17/2019","893.25","892.55","894.55","891.95","","0.10%"
"11/15/2019","892.40","882.70","898.70","877.10","","1.08%"
"11/14/2019","882.85","875.75","886.90","872.30","","0.77%"
"11/13/2019","876.10","873.70","879.60","869.65","","0.23%"
"11/12/2019","874.05","876.90","883.00","867.85","","-0.36%"
"11/11/2019","877.20","890.80","894.90","875.80","","-1.61%"
"11/10/2019","891.55","890.15","892.50","889.95","","0.21%"
"11/08/2019","889.70","913.85","913.85","889.60","","-2.68%"
"11/07/2019","914.20","932.45","938.05","907.20","","-1.94%"
"11/06/2019","932.30","932.20","936.80","926.20","","0.01%"
"11/05/2019","932.25","939.65","943.50","928.50","","-0.75%"
"11/04/2019","939.30","955.50","959.90","936.20","","-1.61%"
"11/03/2019","954.70","954.45","957.20","954.10","","0.01%"
"11/01/2019","954.65","936.60","959.45","933.45","","1.96%"
"10/31/2019","936.30","928.50","943.40","926.55","","0.89%"
"10/30/2019","928.05","924.95","931.85","918.40","","0.37%"
"10/29/2019","924.60","920.50","926.20","912.75","","0.46%"
"10/28/2019","920.35","931.10","938.35","917.40","","-1.14%"
"10/27/2019","930.95","930.70","931.10","929.60","","0.04%"
"10/25/2019","930.55","927.55","943.75","927.15","","0.36%"
"10/24/2019","927.20","922.50","936.80","921.85","","0.54%"
"10/23/2019","922.20","896.80","927.40","894.00","","2.84%"
"10/22/2019","896.70","891.80","897.85","888.20","","0.57%"
"10/21/2019","891.60","895.45","902.75","888.70","","-0.43%"
"10/20/2019","895.45","894.75","896.80","894.30","","-0.12%"
"10/18/2019","896.50","891.35","898.30","886.90","","0.54%"
"10/17/2019","891.70","889.70","894.20","884.50","","0.21%"
"10/16/2019","889.85","888.50","894.90","880.10","","0.15%"
"10/15/2019","888.55","898.55","906.90","887.25","","-1.12%"
"10/14/2019","898.60","897.60","906.05","894.50","","0.11%"
"10/13/2019","897.65","899.50","900.75","896.10","","-0.37%"
"10/11/2019","901.00","904.25","911.40","889.00","","-0.36%"
"10/10/2019","904.25","895.40","908.70","887.70","","0.93%"
"10/09/2019","895.95","899.05","901.60","887.60","","-0.34%"
"10/08/2019","899.05","881.95","899.20","881.50","","1.95%"
"10/07/2019","881.85","884.50","893.80","879.40","","-0.34%"
"10/06/2019","884.90","885.50","887.70","883.95","","-0.06%"
"10/04/2019","885.45","894.20","895.10","876.85","","-1.01%"
"10/03/2019","894.45","893.55","903.90","890.70","","0.06%"
"10/02/2019","893.90","884.15","897.90","875.55","","1.08%"
"10/01/2019","884.35","891.60","893.80","879.40","","-0.87%"
"09/30/2019","892.15","938.80","940.65","880.30","","-4.98%"
"09/29/2019","938.90","936.70","940.75","935.30","","1.00%"
"09/27/2019","929.60","932.80","937.10","919.55","","-0.34%"
"09/26/2019","932.80","928.10","937.75","926.30","","0.48%"
"09/25/2019","928.30","957.30","958.95","923.75","","-3.00%"
"09/24/2019","957.05","959.55","963.85","948.75","","-0.23%"
"09/23/2019","959.25","950.90","963.65","950.75","","0.88%"
"09/22/2019","950.90","944.10","951.70","944.10","","0.38%"
"09/20/2019","947.30","939.90","950.20","937.65","","0.75%"
"09/19/2019","940.25","924.85","943.90","924.10","","1.62%"
"09/18/2019","925.30","940.50","944.90","922.60","","-1.62%"
"09/17/2019","940.50","937.85","946.70","930.90","","0.25%"
"09/16/2019","938.20","958.40","962.15","929.05","","-2.14%"
"09/15/2019","958.75","950.65","959.50","950.65","","0.85%"
