Date,Silver_Price,Gold_Price,Copper_Price,Palladium_Price,Platinum_Price,IRL_Canada,IRL_Chile,IRL_Mexico,IRL_South Africa,IRL_United States,IRS_Canada,IRS_Chile,IRS_China (People's Republic of),IRS_Mexico,IRS_South Africa,IRS_United States,Oil_Price,US_CPI,Year,Month,Day
2021-03-12,25.911,1719.8,4.14,2361.0,1204.4,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,60.8895652173913,265.7288695652174,2021,3,12
2021-03-15,26.288,1729.2,4.1405,2379.75,1213.9,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,61.08173913043478,265.82352173913046,2021,3,15
2021-03-16,26.003,1730.9,4.0715,2485.5,1223.4,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,61.27391304347826,265.91817391304346,2021,3,16
2021-03-17,26.058,1727.1,4.119,2578.5,1203.6,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,61.466086956521735,266.0128260869565,2021,3,17
2021-03-18,26.351,1732.5,4.108,2668.0,1221.6,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,61.65826086956521,266.1074782608695,2021,3,18
2021-03-19,26.321,1741.7,4.113,2623.0,1204.1,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,61.850434782608694,266.2021304347826,2021,3,19
2021-03-22,25.769,1738.1,4.1395,2615.5,1188.1,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,62.04260869565217,266.29678260869565,2021,3,22
2021-03-23,25.227,1725.1,4.0795,2597.0,1178.8,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,62.23478260869565,266.39143478260866,2021,3,23
2021-03-24,25.231,1733.2,4.064,2635.5,1184.8,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,62.42695652173913,266.4860869565217,2021,3,24
2021-03-25,25.047,1725.1,3.978,2636.5,1158.5,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,62.619130434782605,266.5807391304348,2021,3,25
2021-03-26,25.114,1732.3,4.068,2680.0,1181.7,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,62.81130434782609,266.6753913043478,2021,3,26
2021-03-29,24.771,1712.2,4.0345,2530.0,1183.4,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,63.003478260869564,266.77004347826085,2021,3,29
2021-03-30,24.137,1686.0,3.982,2587.0,1160.6,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,63.19565217391304,266.8646956521739,2021,3,30
2021-03-31,24.532,1715.6,4.0,2617.0,1191.5,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,63.38782608695652,266.9593478260869,2021,3,31
2021-04-01,24.948,1728.4,3.994,2669.0,1208.6,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,63.58,267.054,2021,4,1
2021-04-02,24.864,1728.6,4.06675,2665.75,1209.1999999999998,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,63.73227272727273,267.16452380952376,2021,4,2
2021-04-05,24.78,1728.8,4.1395,2662.5,1209.8,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,63.88454545454545,267.2750476190476,2021,4,5
2021-04-06,25.227,1743.0,4.118,2675.0,1240.5,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,64.03681818181818,267.3855714285714,2021,4,6
2021-04-07,25.247,1741.6,4.0575,2615.0,1231.9,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,64.18909090909091,267.4960952380952,2021,4,7
2021-04-08,25.585,1758.2,4.099,2623.5,1235.4,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,64.34136363636364,267.606619047619,2021,4,8
2021-04-09,25.325,1744.8,4.0445,2641.5,1209.3,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,64.49363636363637,267.71714285714285,2021,4,9
2021-04-12,24.867,1732.7,4.0225,2686.0,1174.8,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,64.64590909090909,267.82766666666663,2021,4,12
2021-04-13,25.426,1747.6,4.0365,2700.0,1157.1,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,64.79818181818182,267.93819047619047,2021,4,13
2021-04-14,25.524,1736.3,4.1315,2691.5,1177.4,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,64.95045454545455,268.04871428571425,2021,4,14
2021-04-15,25.964,1766.8,4.223,2742.5,1200.2,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,65.10272727272728,268.1592380952381,2021,4,15
2021-04-16,26.105,1780.2,4.172,2776.0,1208.7,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,65.255,268.2697619047619,2021,4,16
2021-04-19,25.837,1770.6,4.243,2807.0,1206.5,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,65.40727272727273,268.3802857142857,2021,4,19
2021-04-20,25.84,1778.4,4.219,2770.75,1196.3,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,65.55954545454546,268.4908095238095,2021,4,20
2021-04-21,26.57,1793.1,4.2845,2884.0,1214.7,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,65.71181818181819,268.60133333333334,2021,4,21
2021-04-22,26.18,1782.0,4.278,2840.0,1208.5,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,65.86409090909092,268.7118571428571,2021,4,22
2021-04-23,26.075,1777.8,4.34,2856.75,1233.1,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,66.01636363636364,268.82238095238097,2021,4,23
2021-04-26,26.209,1780.1,4.443,2921.5,1245.2,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,66.16863636363637,268.93290476190475,2021,4,26
2021-04-27,26.41,1778.8,4.487,2947.5,1249.5,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,66.3209090909091,269.0434285714286,2021,4,27
2021-04-28,26.085,1773.9,4.498,2919.5,1212.2,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,66.47318181818183,269.1539523809524,2021,4,28
2021-04-29,26.085,1768.3,4.4865,2962.25,1201.1,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,66.62545454545455,269.2644761904762,2021,4,29
2021-04-30,25.873,1767.7,4.468,2935.0,1208.7,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,66.77772727272728,269.375,2021,4,30
2021-05-03,26.96,1791.8,4.5285,2973.0,1233.6,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,66.93,269.4855238095238,2021,5,3
2021-05-04,26.558,1776.0,4.5215,2986.5,1235.3,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,67.257,269.5960476190476,2021,5,4
2021-05-05,26.522,1784.3,4.524,2967.0,1232.3,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,67.584,269.7065714285714,2021,5,5
2021-05-06,27.477,1815.7,4.6025,2938.5,1260.9,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,67.911,269.81709523809525,2021,5,6
2021-05-07,27.477,1831.3,4.7485,2922.0,1257.9,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,68.238,269.92761904761903,2021,5,7
2021-05-10,27.492,1837.6,4.716,2957.5,1269.0,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,68.565,270.0381428571429,2021,5,10
2021-05-11,27.667,1836.1,4.762,2943.0,1244.8,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,68.89200000000001,270.14866666666666,2021,5,11
2021-05-12,27.244,1822.8,4.736,2867.75,1229.2,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,69.21900000000001,270.2591904761905,2021,5,12
2021-05-13,27.059,1824.0,4.6905,2867.5,1209.7,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,69.546,270.3697142857143,2021,5,13
2021-05-14,27.365,1838.1,4.6545,2889.5,1226.1,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,69.873,270.4802380952381,2021,5,14
2021-05-17,28.274,1867.6,4.7115,2902.0,1247.9,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,70.2,270.5907619047619,2021,5,17
2021-05-18,28.333,1868.0,4.7255,2912.0,1228.7,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,70.527,270.70128571428575,2021,5,18
2021-05-19,28.025,1881.5,4.5765,2866.75,1205.0,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,70.854,270.81180952380953,2021,5,19
2021-05-20,28.067,1881.9,4.568,2851.5,1208.5,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,71.181,270.92233333333337,2021,5,20
2021-05-21,27.486,1876.7,4.481,2775.0,1173.4,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,71.508,271.03285714285715,2021,5,21
2021-05-24,27.905,1884.5,4.5255,2741.0,1181.6,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,71.83500000000001,271.143380952381,2021,5,24
2021-05-25,28.056,1898.0,4.5065,2772.0,1201.0,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,72.162,271.2539047619048,2021,5,25
2021-05-26,27.877,1901.2,4.5295,2745.5,1201.6,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,72.489,271.3644285714286,2021,5,26
2021-05-27,27.94,1895.7,4.666,2807.0,1183.4,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,72.816,271.4749523809524,2021,5,27
2021-05-28,28.014,1905.3,4.681,2832.0,1186.6,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.143,271.58547619047624,2021,5,28
2021-06-01,28.109,1905.0,4.6565,2865.5,1203.8,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.47,271.696,2021,6,1
